superior_rating,price,variety,Crisp,Dry,Sweet,Finish,Firm,Fresh,Fruit,Full,Rich,Round,Soft,sentiment,variety_c,sweetness,acidity,tannin,alcohol,body,tfidf_tsne_1,tfidf_tsne_2,Ready,price_bracket
1,43,Champagne Blend,0,1,0,1,0,0,0,0,1,1,0,0.183,Cd,0.438,0.312,0.438,0.688,0.625,42.0999,28.478207,0,UP
0,17,Bordeaux-style Red Blend,0,0,0,0,0,0,1,0,0,0,0,0.3,BR,0.5,0.625,0.625,0.5,0.5,-2.5228288,12.224195,0,P
0,34,Champagne Blend,0,0,0,0,1,0,1,1,0,0,0,0.062,Cd,0.583,0.333,0.667,0.583,0.667,29.801601,38.319843,0,UP
1,35,Rosé,1,0,0,1,0,0,1,1,0,0,1,0.312,Re,0.429,0.429,0.429,0.5,0.5,25.01518,-29.282564,0,UP
0,45,Chardonnay,1,0,0,0,0,0,0,0,0,0,1,0.217,Cy,0.375,0.5,0.375,0.375,0.5,46.969723,-3.859226,0,UP
1,96,Syrah,0,0,0,0,0,0,1,0,0,0,0,0.16,Sh,0.562,0.5,0.5,0.562,0.5,-25.569313,-23.518368,0,L
1,18,Red Blend,0,0,0,0,0,0,1,1,1,0,0,0.186,Rd,0.5,0.3,0.6,0.7,0.7,-29.315468,-21.580292,0,P
1,38,Syrah,0,0,0,1,0,0,0,0,1,0,0,0.285,Sh,0.5,0.45,0.5,0.55,0.55,9.520227,58.551815,0,UP
1,145,Syrah,0,0,0,0,0,0,1,0,1,0,0,0.005,Sh,0.643,0.429,0.5,0.5,0.429,-19.391262,-27.811016,0,SL
0,10,Gamay,0,0,0,0,0,0,1,1,1,0,0,0.231,Gy,0.9,0.3,0.6,0.6,0.7,-18.401407,20.341227,0,PP
0,20,Gewürztraminer,0,0,0,0,0,0,1,0,1,0,0,0.144,Gr,0.7,0.4,0.6,0.6,0.8,58.81512,2.480414,1,SP
0,14,Bordeaux-style Red Blend,0,1,0,0,1,0,1,0,0,1,0,0.017,BR,0.3,0.4,0.5,0.2,0.4,-45.96844,18.473347,0,PP
1,25,Bordeaux-style Red Blend,0,0,0,0,1,0,1,0,1,1,0,0.041,BR,0.5,0.333,0.5,0.417,0.5,-23.884567,39.536835,0,SP
0,12,Chenin Blanc,0,1,0,0,0,1,0,0,0,0,0,0.28,Cc,0.375,0.5,0.5,0.25,0.5,14.769697,-34.869648,0,PP
1,27,Alsace white blend,0,1,0,1,0,1,0,1,0,0,0,0.292,Ad,0.458,0.458,0.542,0.5,0.542,26.588066,-47.986866,0,SP
0,36,Chardonnay,0,0,0,1,0,0,0,1,0,0,1,0.167,Cy,0.3,0.4,0.6,0.3,0.7,22.37472,6.2226386,0,UP
1,15,Tannat,0,1,0,0,1,0,1,0,0,0,0,-0.117,Tt,0.5,0.5,0.714,0.357,0.643,-36.33431,19.223232,1,P
0,9,White Blend,0,0,0,0,0,0,1,0,0,0,0,0.341,Wd,0.562,0.562,0.5,0.5,0.5,15.295717,-36.71341,0,V
0,18,Rhône-style Red Blend,0,0,0,0,0,0,1,0,0,0,0,-0.067,RR,0.571,0.5,0.5,0.571,0.571,-13.174156,-41.090332,0,P
0,55,Gewürztraminer,0,1,0,1,0,0,1,0,0,0,0,0.281,Gr,0.5,0.5,0.5,0.375,0.438,5.373555,-48.978485,0,L
1,41,Muscat,0,1,0,1,0,1,0,0,0,0,0,0.139,Mt,0.5,0.5,0.5,0.444,0.444,28.114046,-54.09747,0,UP
1,45,Bordeaux-style White Blend,0,0,0,0,0,0,1,0,1,0,0,0.165,BW,0.583,0.333,0.5,0.667,0.583,9.002425,31.435856,0,UP
0,22,Rhône-style Red Blend,0,0,0,0,0,0,1,0,0,0,0,0.187,RR,0.7,0.3,0.5,0.6,0.5,-21.624165,-31.833126,0,SP
0,65,Pinot Noir,0,0,0,0,0,0,1,0,0,0,0,0.239,Pr,0.5,0.5,0.5,0.357,0.5,-47.38058,6.5970426,0,L
0,12,Bordeaux-style Red Blend,0,0,0,0,0,0,1,0,1,0,1,0.225,BR,0.625,0.25,0.375,0.5,0.5,-7.9222646,-15.165153,1,PP
1,55,Syrah,0,0,0,1,0,0,1,0,0,0,0,0.18,Sh,0.6,0.4,0.4,0.5,0.5,-36.555798,-21.0985,0,L
0,10,Rosé,0,0,0,1,0,0,0,0,0,0,0,0.2,Re,0.6,0.5,0.5,0.5,0.6,-12.5543165,-38.020775,0,PP
1,40,Malbec,0,0,0,0,1,0,1,0,0,0,0,-0.183,Mc,0.5,0.5,0.667,0.5,0.5,-27.105421,29.01361,0,UP
0,10,Syrah,0,0,0,0,0,1,0,0,0,0,0,0.48,Sh,0.417,0.5,0.5,0.5,0.5,-0.09323076,-30.360487,0,PP
1,60,Pinot Noir,0,0,0,0,0,0,1,0,0,0,0,0.333,Pr,0.5,0.5,0.667,0.417,0.667,-54.737297,11.860262,0,L
0,77,Pinot Noir,0,1,0,0,0,0,1,0,0,0,0,0.142,Pr,0.583,0.5,0.667,0.417,0.667,-7.357071,9.879027,0,L
1,60,Champagne Blend,0,0,0,0,0,0,1,0,1,0,0,0.35,Cd,0.389,0.556,0.5,0.389,0.5,41.501446,32.154675,0,L
1,52,Champagne Blend,0,0,0,0,0,1,1,1,0,0,0,0.45,Cd,0.667,0.417,0.5,0.583,0.667,22.729183,38.652588,0,L
1,280,Pinot Noir,0,0,0,0,0,1,1,0,0,0,1,0.044,Pr,0.5,0.417,0.417,0.5,0.5,-8.699332,10.5956545,0,I
0,27,Chardonnay,1,0,0,0,0,1,1,0,0,0,0,0.288,Cy,0.5,0.5,0.417,0.333,0.5,17.37623,-11.397656,1,SP
1,75,Rhône-style Red Blend,0,0,0,1,1,1,1,0,0,0,0,-0.024,RR,0.545,0.5,0.591,0.5,0.455,-31.402668,-43.462215,0,L
1,500,Chardonnay,0,0,0,0,0,0,1,0,0,0,0,0.189,Cy,0.5,0.625,0.562,0.375,0.562,-8.761739,40.89803,0,I
1,35,Bordeaux-style Red Blend,0,0,0,0,0,0,1,0,1,0,0,0.294,BR,0.643,0.429,0.571,0.5,0.571,-32.187695,-13.013449,0,UP
1,27,Rhône-style Red Blend,0,0,0,0,0,0,0,0,1,0,0,0.133,RR,0.5,0.45,0.5,0.5,0.55,-40.00053,-23.359632,0,SP
1,200,Champagne Blend,0,0,0,0,0,1,1,0,0,0,0,0.29,Cd,0.571,0.5,0.5,0.5,0.5,-8.425898,31.864763,0,I
0,33,Pinot Noir,0,0,1,1,0,1,0,0,0,0,1,0.136,Pr,0.75,0.167,0.417,0.5,0.5,1.4600888,-19.695957,0,UP
1,20,Bordeaux-style Red Blend,0,0,0,0,0,0,1,0,0,0,0,0.105,BR,0.5,0.438,0.5,0.438,0.562,-10.389542,20.752687,0,SP
0,15,Bordeaux-style Red Blend,0,0,0,0,0,0,1,0,1,0,0,0.355,BR,0.6,0.4,0.5,0.5,0.5,-5.2552505,-14.666217,1,P
0,12,Merlot,0,0,0,0,0,0,1,0,0,1,0,-0.175,Mr,0.75,0.25,0.375,0.5,0.5,-18.187885,-21.548912,0,PP
0,15,Sauvignon Blanc,1,0,0,0,0,0,1,1,0,0,0,0.283,Sc,0.5,0.75,0.5,0.375,0.5,34.49595,0.53532577,0,P
0,15,Chardonnay,0,0,0,1,0,0,1,1,0,0,1,0.142,Cy,0.583,0.417,0.5,0.667,0.667,20.647186,5.5180306,0,P
1,20,Rosé,0,0,0,0,0,0,0,0,1,0,0,-0.045,Re,0.5,0.5,0.5,0.6,0.6,38.53975,-12.913159,0,SP
0,40,Bordeaux-style Red Blend,0,0,0,1,0,0,1,0,0,0,0,0.293,BR,0.6,0.5,0.5,0.6,0.6,11.543118,29.272993,0,UP
1,54,Chardonnay,0,1,0,0,1,1,1,0,0,1,0,-0.043,Cy,0.333,0.5,0.583,0.333,0.583,22.108335,10.9726515,0,L
0,17,Bordeaux-style Red Blend,0,1,0,1,1,1,0,0,0,0,0,0.082,BR,0.375,0.5,0.625,0.375,0.562,-16.564833,12.037682,0,P
0,50,Chardonnay,0,0,0,0,0,0,0,0,1,0,0,0.242,Cy,0.5,0.333,0.583,0.5,0.75,-18.937037,51.001446,0,L
0,26,Chardonnay,0,0,0,0,0,0,1,0,1,0,0,0.188,Cy,0.667,0.333,0.583,0.5,0.667,42.26239,20.418905,0,SP
0,12,Viognier,0,0,0,1,0,1,0,0,0,0,1,0.034,Vr,0.5,0.562,0.438,0.438,0.438,0.47580355,-36.925804,0,PP
1,19,Rhône-style Red Blend,0,0,0,0,0,0,1,1,0,0,0,0.25,RR,0.556,0.444,0.5,0.667,0.556,-14.702701,-52.517544,1,P
1,47,Pinot Noir,0,0,0,0,0,0,0,0,0,0,0,0.106,Pr,0.417,0.417,0.5,0.417,0.583,-18.093956,10.1657915,1,UP
0,12,Bordeaux-style Red Blend,1,0,0,0,0,1,1,0,0,0,0,0.331,BR,0.4,0.6,0.5,0.3,0.4,18.801403,-22.994253,0,PP
1,69,Chardonnay,0,0,0,0,0,1,1,1,1,0,0,0.33,Cy,0.571,0.214,0.5,0.714,0.786,27.799467,32.159927,0,L
0,65,Chardonnay,1,0,0,1,0,0,1,0,1,1,0,0.071,Cy,0.438,0.562,0.5,0.375,0.625,18.815819,-2.4013937,0,L
0,18,Rosé,0,1,0,0,0,0,0,0,0,0,0,-0.215,Re,0.3,0.5,0.5,0.3,0.5,-47.52746,-9.954603,0,P
1,50,Champagne Blend,0,0,0,0,0,0,1,0,1,0,0,0.087,Cd,0.5,0.5,0.571,0.357,0.643,24.683275,31.01612,0,L
0,13,Chardonnay,0,0,0,1,0,0,0,0,0,1,0,0.12,Cy,0.5,0.4,0.4,0.5,0.5,24.077772,13.699508,0,PP
0,17,Chardonnay,0,0,0,1,1,1,0,0,0,1,0,0.04,Cy,0.438,0.438,0.5,0.5,0.438,32.73812,-37.96777,0,P
1,215,Chardonnay,0,0,0,0,0,0,1,0,1,0,0,0.229,Cy,0.571,0.5,0.571,0.5,0.643,35.570087,14.462142,0,I
0,24,Bordeaux-style Red Blend,0,0,0,0,0,1,1,0,1,0,0,0.179,BR,0.5,0.3,0.5,0.4,0.7,-9.639176,24.098553,0,SP
1,48,Pinot Gris,0,0,1,0,0,0,0,0,1,0,0,0.541,Ps,0.571,0.429,0.5,0.357,0.571,56.49761,10.198608,0,UP
1,35,Bordeaux-style White Blend,0,0,0,0,0,0,1,1,1,0,0,0.169,BW,0.5,0.438,0.562,0.438,0.688,14.685064,20.395561,0,UP
0,27,Pinot Noir,0,1,0,0,0,0,1,0,0,0,0,-0.092,Pr,0.5,0.5,0.562,0.438,0.438,-17.29485,-51.20832,0,SP
1,240,Pinot Noir,0,0,0,1,1,1,1,0,1,0,0,-0.024,Pr,0.625,0.438,0.625,0.438,0.562,-20.804033,38.239944,0,I
0,18,Rhône-style Red Blend,0,0,0,0,0,0,1,0,0,0,1,-0.002,RR,0.583,0.417,0.417,0.583,0.417,-23.793577,-30.421972,0,P
1,30,Bordeaux-style Red Blend,0,1,0,0,1,0,1,0,0,0,0,0.082,BR,0.5,0.5,0.643,0.429,0.571,-26.441635,8.707452,1,UP
0,23,Pinot Gris,0,1,0,0,0,0,0,1,0,0,0,0.157,Ps,0.4,0.4,0.5,0.5,0.6,7.9066577,14.085607,0,SP
0,9,Rhône-style Red Blend,0,0,0,0,0,0,0,0,0,0,0,0.267,RR,0.438,0.562,0.5,0.438,0.438,-19.56654,-41.33697,0,V
1,24,Red Blend,0,0,0,0,0,0,1,0,0,0,0,0.177,Rd,0.55,0.5,0.55,0.55,0.45,-22.478275,-38.417126,0,SP
0,15,Syrah,0,0,0,1,0,0,1,0,0,0,0,-0.283,Sh,0.583,0.5,0.5,0.5,0.5,-5.3247356,-54.90246,0,P
0,129,Chardonnay,0,0,0,1,0,0,1,0,0,0,1,-0.133,Cy,0.5,0.5,0.6,0.4,0.7,-53.780495,26.441986,0,SL
1,25,Pinot Noir,0,0,0,1,0,1,1,0,1,0,0,0.36,Pr,0.5,0.4,0.6,0.4,0.8,13.196364,8.454178,0,SP
0,14,Cabernet Franc,0,1,0,0,0,0,0,0,0,0,0,-0.054,CF,0.5,0.417,0.583,0.5,0.583,-6.8504143,56.636864,0,PP
0,47,Chardonnay,0,0,0,0,0,1,1,0,1,1,0,0.433,Cy,0.5,0.2,0.5,0.4,0.7,-3.6898708,-4.50135,0,UP
0,10,Pinot Noir,0,0,0,1,0,0,0,0,0,0,0,0.05,Pr,0.417,0.5,0.5,0.5,0.5,-8.954458,-38.221394,0,PP
0,20,Rosé,0,0,0,0,0,0,1,1,0,0,1,0.212,Re,0.5,0.3,0.4,0.6,0.6,7.224896,12.763535,0,SP
1,82,Pinot Noir,0,0,0,0,0,0,0,0,0,0,0,0.188,Pr,0.5,0.5,0.583,0.583,0.583,-40.330006,37.199165,0,L
0,15,Bordeaux-style Red Blend,0,1,0,0,1,0,1,0,0,0,0,-0.092,BR,0.375,0.5,0.625,0.25,0.5,-43.47736,-4.905769,0,P
1,17,Tannat,0,0,0,0,1,0,0,0,1,0,0,0.005,Tt,0.429,0.429,0.643,0.429,0.643,-27.337507,17.43003,0,P
0,20,Merlot,0,0,0,0,0,0,1,0,1,0,0,0.175,Mr,0.417,0.417,0.5,0.333,0.583,-24.219637,-3.134281,0,SP
0,19,Pinot Noir,0,0,0,0,0,1,0,0,0,0,0,0.155,Pr,0.5,0.5,0.5,0.5,0.333,-27.296537,-26.52406,0,P
1,60,Chardonnay,0,0,0,0,0,0,1,1,0,0,0,0.235,Cy,0.8,0.4,0.6,0.6,0.8,39.91702,16.140348,0,L
1,90,Bordeaux-style Red Blend,0,0,1,0,1,0,1,0,0,0,0,0.05,BR,0.75,0.417,0.667,0.417,0.583,-15.267713,10.507652,0,L
1,138,Pinot Noir,0,0,0,0,0,0,1,0,1,0,0,0.0,Pr,0.5,0.417,0.5,0.583,0.583,14.959867,7.8899364,0,SL
1,55,Bordeaux-style Red Blend,0,0,0,0,1,0,1,1,1,0,0,-0.013,BR,0.667,0.333,0.833,0.583,0.917,-1.039975,25.766922,0,L
1,328,Chardonnay,0,0,0,0,0,0,1,0,1,0,0,0.263,Cy,0.5,0.562,0.5,0.5,0.562,-26.528479,33.495422,0,I
0,13,Rosé,0,0,0,0,0,1,0,0,1,0,0,0.135,Re,0.5,0.417,0.5,0.5,0.583,13.352085,-52.4844,0,PP
0,25,Malbec,0,1,0,0,1,0,1,0,0,0,0,-0.089,Mc,0.5,0.5,0.583,0.417,0.5,-20.269588,-8.387452,0,SP
0,14,Chardonnay,0,0,0,0,0,1,1,0,0,0,1,0.245,Cy,0.625,0.438,0.438,0.562,0.562,44.145153,-34.614433,0,PP
1,210,Bordeaux-style Red Blend,0,0,1,0,1,0,1,0,1,0,0,0.045,BR,0.688,0.312,0.5,0.5,0.562,-17.30987,43.01474,0,I
0,52,Pinot Noir,0,0,0,0,0,0,0,0,1,0,0,0.262,Pr,0.429,0.429,0.571,0.357,0.571,27.100471,42.545685,0,L
1,206,Pinot Noir,0,1,0,0,0,0,0,0,0,0,0,0.087,Pr,0.4,0.5,0.6,0.4,0.6,-15.915843,35.720768,0,I
0,13,Bordeaux-style White Blend,1,0,0,0,0,1,0,1,0,0,0,0.239,BW,0.417,0.583,0.583,0.583,0.667,21.429512,5.026857,0,PP
1,62,Chardonnay,1,0,0,0,0,1,1,0,0,0,0,0.23,Cy,0.417,0.583,0.5,0.25,0.583,12.8821745,28.388039,0,L
0,10,White Blend,0,0,0,0,0,1,1,0,1,0,0,0.217,Wd,0.375,0.375,0.5,0.375,0.625,62.004894,-7.863022,0,PP
1,250,Chardonnay,0,0,0,0,0,1,0,0,0,0,0,0.208,Cy,0.5,0.5,0.5,0.5,0.5,4.4391026,46.749306,0,I
0,16,Rosé,0,0,0,0,0,0,1,0,0,0,0,0.233,Re,0.583,0.583,0.667,0.5,0.583,-6.4243646,-4.0300307,0,P
1,35,Champagne Blend,0,0,0,0,0,0,0,1,0,1,0,0.206,Cd,0.556,0.389,0.444,0.667,0.556,-53.668312,-28.414701,1,UP
1,330,Chardonnay,0,0,0,0,0,1,0,0,0,0,0,0.3,Cy,0.4,0.5,0.5,0.4,0.5,-11.056134,38.915157,1,I
0,21,Riesling,0,0,0,1,0,0,0,0,0,0,0,-0.183,Rg,0.571,0.5,0.5,0.5,0.5,-8.380014,-35.025463,0,SP
0,13,Riesling,1,0,0,1,0,1,0,0,0,0,0,0.157,Rg,0.429,0.643,0.5,0.429,0.429,14.402715,-47.4652,0,PP
1,159,Champagne Blend,1,0,0,0,0,1,1,0,1,0,0,0.254,Cd,0.5,0.5,0.5,0.429,0.571,33.266212,22.274128,0,SL
0,14,Gamay,0,0,0,0,0,0,1,0,0,0,0,-0.4,Gy,0.5,0.5,0.625,0.375,0.625,-38.82766,-2.8529925,0,PP
1,48,Gewürztraminer,0,0,1,1,0,0,1,0,0,0,0,0.023,Gr,0.65,0.45,0.5,0.55,0.4,17.67299,-61.073284,0,UP
1,15,Gamay,0,0,0,0,1,0,1,0,0,0,0,-0.092,Gy,0.6,0.5,0.7,0.4,0.5,-24.663572,22.236563,0,P
0,31,Bordeaux-style White Blend,0,1,1,0,0,0,0,0,0,0,1,0.165,BW,0.625,0.25,0.375,0.375,0.5,-14.463166,-29.095074,0,UP
1,52,Champagne Blend,1,0,0,0,0,0,1,1,1,1,0,0.248,Cd,0.6,0.4,0.45,0.5,0.6,37.876987,32.218197,0,L
1,20,Sauvignon Blanc,0,0,0,0,0,1,1,1,0,1,0,0.125,Sc,0.643,0.357,0.5,0.571,0.643,0.15803753,14.378751,1,SP
0,11,Tannat-Cabernet,0,0,0,0,0,1,1,0,0,0,0,0.285,TC,0.4,0.7,0.5,0.4,0.5,-17.963173,-15.496644,0,PP
1,60,Chardonnay,0,0,0,0,0,1,1,0,0,0,0,0.15,Cy,0.5,0.5,0.5,0.5,0.625,-5.7358994,43.055943,0,L
0,22,Rhône-style Red Blend,0,1,0,1,0,0,1,0,0,0,0,0.192,RR,0.5,0.5,0.5,0.55,0.45,-10.440961,-48.95554,0,SP
0,10,Rosé,0,0,1,0,0,1,1,0,0,0,0,0.342,Re,0.5,0.375,0.5,0.375,0.375,9.696118,-6.9701176,0,PP
0,36,Marsanne,0,0,0,0,0,0,1,0,0,0,0,0.0,Me,0.667,0.5,0.5,0.667,0.5,0.9888836,-40.511776,0,UP
0,80,Chardonnay,0,0,0,0,0,0,1,0,0,0,0,0.002,Cy,0.5,0.5,0.5,0.5,0.5,35.935684,31.530148,0,L
1,42,Bordeaux-style Red Blend,0,0,0,0,0,0,0,0,0,0,0,0.25,BR,0.5,0.5,0.5,0.5,0.5,-19.365805,31.355812,0,UP
1,25,Rosé,0,0,0,0,0,0,1,0,0,0,0,0.336,Re,0.583,0.667,0.5,0.5,0.5,29.797304,15.714762,0,SP
1,35,Bordeaux-style Red Blend,0,0,0,0,0,0,1,0,1,0,0,0.185,BR,0.417,0.417,0.583,0.417,0.583,-21.748417,32.5069,0,UP
0,40,Champagne Blend,0,1,0,1,0,0,1,1,0,0,0,0.107,Cd,0.5,0.417,0.583,0.5,0.667,25.188938,-8.583117,0,UP
0,28,Pinot Noir,0,0,0,1,0,1,1,0,0,1,0,0.232,Pr,0.583,0.5,0.417,0.417,0.5,-15.367559,-1.2381312,0,SP
0,17,Rosé,0,0,0,1,0,0,0,0,0,0,1,-0.092,Re,0.5,0.417,0.417,0.5,0.417,10.931098,-55.75284,0,P
0,25,Rhône-style Red Blend,0,0,0,0,0,0,1,0,0,0,0,0.1,RR,0.625,0.5,0.5,0.5,0.5,-19.217192,-56.117195,0,SP
1,16,Bordeaux-style Red Blend,0,0,0,0,0,0,1,1,1,1,0,0.481,BR,0.667,0.25,0.5,0.667,0.833,-1.8438681,7.0252395,1,P
0,14,Rosé,1,0,0,0,0,0,1,1,0,0,0,0.24,Re,0.4,0.6,0.5,0.4,0.5,36.588154,-15.676057,0,PP
0,20,Bordeaux-style Red Blend,0,0,0,0,1,0,0,0,0,0,0,-0.014,BR,0.5,0.5,0.75,0.417,0.75,-18.355362,36.8984,0,SP
0,15,Gewürztraminer,0,0,1,0,0,0,0,0,0,0,0,0.204,Gr,0.6,0.4,0.5,0.6,0.5,61.345028,-6.5885863,0,P
0,48,Chardonnay,0,1,0,0,0,0,1,0,0,0,0,0.044,Cy,0.5,0.5,0.5,0.5,0.5,15.918992,11.714901,0,UP
0,40,Chardonnay,1,0,1,0,0,0,0,0,1,0,0,0.425,Cy,0.5,0.375,0.625,0.375,0.75,35.58319,10.961922,1,UP
0,34,Pinot Noir,0,0,0,0,1,0,1,0,0,0,0,-0.067,Pr,0.4,0.5,0.8,0.4,0.7,-10.379823,27.436855,0,UP
0,50,Pinot Noir,0,0,0,0,0,0,1,0,0,0,0,-0.154,Pr,0.625,0.5,0.5,0.5,0.375,-43.286324,-4.850825,0,L
0,15,Bordeaux-style Red Blend,0,1,0,0,0,0,1,0,0,0,0,-0.292,BR,0.6,0.5,0.5,0.4,0.6,-44.988174,-4.832828,0,P
1,290,Champagne Blend,0,0,1,1,0,0,0,1,1,1,0,0.199,Cd,0.625,0.25,0.5,0.562,0.688,-2.017287,36.927856,0,I
0,13,Malbec,0,0,0,0,0,0,1,0,0,0,1,0.211,Mc,0.333,0.5,0.333,0.333,0.333,-11.053695,-11.801104,0,PP
0,30,Pinot Noir,0,0,0,0,0,1,1,0,0,0,1,0.267,Pr,0.6,0.4,0.4,0.4,0.6,-14.545391,-4.4984093,0,UP
0,18,Chenin Blanc,0,0,0,1,0,1,1,0,1,0,0,0.2,Cc,0.611,0.389,0.5,0.556,0.556,10.970015,-1.6894176,0,P
0,25,Pinot Noir,0,1,0,0,0,1,1,0,0,0,0,0.037,Pr,0.375,0.562,0.5,0.312,0.5,-43.672836,5.4423766,0,SP
0,45,Champagne Blend,1,0,0,0,0,0,1,0,0,0,0,0.343,Cd,0.5,0.6,0.5,0.3,0.5,31.76371,2.228949,0,UP
0,46,Champagne Blend,1,0,0,0,0,1,1,1,0,0,1,0.143,Cd,0.5,0.417,0.417,0.417,0.583,27.139385,16.49928,0,UP
0,39,Champagne Blend,0,0,0,0,0,0,1,1,0,0,0,0.495,Cd,0.6,0.6,0.6,0.5,0.7,19.969433,-17.015745,0,UP
0,25,Bordeaux-style White Blend,0,0,0,0,0,0,1,0,0,1,0,0.3,BW,0.5,0.375,0.5,0.5,0.5,10.152787,-12.785888,1,SP
0,14,Pinot Blanc,0,0,0,0,0,1,0,0,0,1,0,0.3,Pc,0.583,0.417,0.417,0.5,0.5,21.31326,-51.847843,0,PP
0,25,Syrah,0,0,0,1,1,0,1,0,0,0,0,-0.077,Sh,0.562,0.438,0.5,0.5,0.438,-40.073597,-41.03557,0,SP
1,30,Sauvignon Blanc,1,0,0,1,0,1,1,0,0,0,0,0.279,Sc,0.417,0.667,0.5,0.417,0.583,35.35957,-2.1966689,0,UP
0,23,Cabernet Franc,0,0,1,0,0,0,1,1,1,0,0,0.383,CF,0.571,0.214,0.5,0.5,0.714,2.9600294,61.00493,0,SP
0,16,Pinot Noir,0,0,0,0,0,0,1,0,0,0,0,0.394,Pr,0.625,0.5,0.625,0.375,0.375,-1.6286976,-1.8558961,0,P
0,25,Pinot Gris,0,1,0,1,0,0,0,0,0,0,0,-0.008,Ps,0.4,0.5,0.5,0.4,0.4,-1.4824,-35.22812,0,SP
0,80,Champagne Blend,0,0,0,0,0,0,1,0,0,0,0,0.24,Cd,0.5,0.5,0.5,0.5,0.5,34.998436,31.234386,0,L
0,6,Cabernet Sauvignon,0,0,0,0,0,1,0,0,0,0,0,0.169,Cn,0.5,0.5,0.5,0.5,0.375,7.3701215,-19.082924,0,V
0,16,Bordeaux-style White Blend,1,0,0,0,0,0,1,0,0,0,0,0.325,BW,0.438,0.562,0.5,0.438,0.5,16.624199,-17.792677,0,P
0,22,Pinot Noir,0,0,0,0,0,0,0,0,0,0,0,-0.3,Pr,0.5,0.5,0.5,0.5,0.571,-14.025693,-8.222714,0,SP
0,11,Champagne Blend,0,0,0,0,0,0,0,0,0,0,0,0.341,Cd,0.5,0.5,0.5,0.5,0.333,38.35492,29.457336,0,PP
0,48,Rhône-style White Blend,0,0,0,0,0,0,0,0,1,0,0,-0.15,RW,0.5,0.417,0.5,0.5,0.583,6.546854,-32.563057,0,UP
0,13,White Blend,1,0,0,0,0,0,1,0,0,0,1,0.143,Wd,0.667,0.583,0.5,0.417,0.5,33.160007,6.429835,0,PP
0,20,Bordeaux-style Red Blend,0,0,0,0,0,0,1,0,0,0,0,0.007,BR,0.6,0.5,0.6,0.5,0.6,18.657602,27.986542,0,SP
1,18,Cabernet Franc,0,0,1,0,0,0,1,0,1,0,0,0.175,CF,0.6,0.3,0.5,0.5,0.6,-24.813204,2.0272093,0,P
1,38,Chardonnay,1,0,0,0,0,1,1,0,0,0,1,0.2,Cy,0.5,0.4,0.4,0.4,0.4,18.283113,39.9641,0,UP
1,26,Bordeaux-style White Blend,0,1,0,0,0,0,1,0,1,0,0,0.042,BW,0.5,0.4,0.5,0.4,0.6,55.469845,13.995868,1,SP
1,44,Sauvignon Blanc,0,0,0,0,0,0,1,1,0,1,0,0.288,Sc,0.75,0.25,0.417,0.583,0.583,13.727689,18.64497,0,UP
0,25,Bordeaux-style Red Blend,0,1,0,0,0,0,1,0,0,0,0,0.038,BR,0.4,0.5,0.5,0.3,0.5,-43.03402,-6.2004375,0,SP
0,17,Gamay,0,0,0,0,0,1,1,0,0,0,0,0.55,Gy,0.5,0.625,0.5,0.375,0.375,-12.444677,-17.842854,0,P
0,55,Chardonnay,0,0,0,1,0,0,1,1,0,1,1,0.175,Cy,0.6,0.2,0.3,0.5,0.6,12.85681,17.089659,0,L
0,15,Bordeaux-style Red Blend,0,0,0,0,0,0,1,0,0,0,0,0.0,BR,0.7,0.5,0.6,0.5,0.5,-2.0298822,-2.4231856,0,P
1,24,Riesling,0,1,0,0,0,0,1,1,1,0,0,0.35,Rg,0.5,0.2,0.5,0.5,0.8,12.399271,20.686304,0,SP
1,58,Pinot Noir,0,0,0,0,0,1,1,0,0,0,0,0.207,Pr,0.5,0.5,0.5,0.429,0.571,-8.951357,6.594121,0,L
0,18,Bordeaux-style Red Blend,0,0,0,0,1,0,1,0,0,0,0,0.113,BR,0.5,0.5,0.7,0.5,0.6,-28.808617,38.97492,0,P
0,35,Bordeaux-style Red Blend,0,1,0,0,1,1,1,0,0,0,0,0.124,BR,0.583,0.5,0.75,0.5,0.417,-32.97986,8.968518,0,UP
0,16,Bordeaux-style Red Blend,0,0,0,0,0,0,1,0,0,0,1,0.058,BR,0.417,0.417,0.5,0.25,0.5,-40.41557,15.764273,0,P
1,20,Rhône-style Red Blend,0,0,0,1,0,0,1,0,0,0,0,0.15,RR,0.583,0.5,0.5,0.583,0.5,-19.475723,-55.834682,0,SP
1,50,Rhône-style Red Blend,0,0,0,1,1,1,0,0,0,1,0,0.151,RR,0.55,0.4,0.5,0.6,0.55,-26.597984,-36.86232,0,L
0,15,Bordeaux-style White Blend,1,0,0,0,0,1,1,0,1,0,0,0.221,BW,0.429,0.571,0.5,0.286,0.571,32.490685,-1.1715401,0,P
0,19,Malbec,0,0,0,0,0,0,1,0,0,0,1,0.123,Mc,0.571,0.5,0.5,0.5,0.429,-13.03554,-15.120623,0,P
1,246,Champagne Blend,0,0,0,0,0,1,1,0,1,0,0,0.061,Cd,0.5,0.4,0.5,0.5,0.6,37.7751,20.457392,1,I
1,24,Rosé,0,0,0,1,0,0,0,0,0,0,0,0.242,Re,0.5,0.562,0.5,0.5,0.5,1.5911953,-50.721264,0,SP
0,16,Rhône-style Red Blend,0,0,0,1,0,0,1,0,1,1,0,0.226,RR,0.625,0.312,0.438,0.562,0.5,-17.446836,-42.49785,0,P
